Area(23 Markets),Country/Area(23 Markets),Purpose_of_visit_to_Japan,Year,Visitor Arrivals
East Asia,China,Tourism,1992,29.147
East Asia,China,Tourism,1993,26.454
East Asia,China,Tourism,1994,24.550
East Asia,China,Tourism,1995,25.489
East Asia,China,Tourism,1996,29.291
East Asia,China,Tourism,1997,33.431
East Asia,China,Tourism,1998,35.616
East Asia,China,Tourism,1999,37.153
East Asia,China,Tourism,2000,45.270
East Asia,China,Tourism,2001,72.118
East Asia,China,Tourism,2002,101.299
East Asia,China,Tourism,2003,95.991
East Asia,China,Tourism,2004,189.692
East Asia,China,Tourism,2005,201.940
East Asia,China,Tourism,2006,297.025
East Asia,China,Tourism,2007,407.286
East Asia,China,Tourism,2008,455.728
East Asia,China,Tourism,2009,481.696
East Asia,China,Tourism,2010,831.652
East Asia,China,Tourism,2011,453.182
East Asia,China,Tourism,2012,829.206
East Asia,China,Tourism,2013,704.737
East Asia,China,Tourism,2014,1.753.572
East Asia,China,Tourism,2015,4.237.920
East Asia,China,Tourism,2016,5.535.125
East Asia,China,Tourism,2017,6.447.740
East Asia,China,Tourism,2018,7.426.173
East Asia,China,Tourism,2019,8.575.500
East Asia,China,Tourism,2020,865.156
East Asia,China,Tourism,2021,3.851
East Asia,China,Tourism,2022,42.852
East Asia,China,Tourism,2023,1.799.723
East Asia,China,Tourism,2024,1.077.675
East Asia,Hong Kong,Tourism,1992,136.040
East Asia,Hong Kong,Tourism,1993,113.366
East Asia,Hong Kong,Tourism,1994,109.391
East Asia,Hong Kong,Tourism,1995,63.301
East Asia,Hong Kong,Tourism,1996,133.700
East Asia,Hong Kong,Tourism,1997,227.909
East Asia,Hong Kong,Tourism,1998,318.827
East Asia,Hong Kong,Tourism,1999,215.463
East Asia,Hong Kong,Tourism,2000,205.315
East Asia,Hong Kong,Tourism,2001,226.862
East Asia,Hong Kong,Tourism,2002,255.294
East Asia,Hong Kong,Tourism,2003,228.073
East Asia,Hong Kong,Tourism,2004,271.492
East Asia,Hong Kong,Tourism,2005,269.123
East Asia,Hong Kong,Tourism,2006,322.413
East Asia,Hong Kong,Tourism,2007,399.681
East Asia,Hong Kong,Tourism,2008,513.185
East Asia,Hong Kong,Tourism,2009,418.169
East Asia,Hong Kong,Tourism,2010,473.031
East Asia,Hong Kong,Tourism,2011,333.773
East Asia,Hong Kong,Tourism,2012,447.486
East Asia,Hong Kong,Tourism,2013,708.997
East Asia,Hong Kong,Tourism,2014,886.308
East Asia,Hong Kong,Tourism,2015,1.480.564
East Asia,Hong Kong,Tourism,2016,1.793.358
East Asia,Hong Kong,Tourism,2017,2.180.760
East Asia,Hong Kong,Tourism,2018,2.156.354
East Asia,Hong Kong,Tourism,2019,2.237.316
East Asia,Hong Kong,Tourism,2020,337.616
East Asia,Hong Kong,Tourism,2021,377
East Asia,Hong Kong,Tourism,2022,256.631
East Asia,Hong Kong,Tourism,2023,2.077.319
East Asia,Hong Kong,Tourism,2023,611.703
East Asia,South Korea,Tourism,1992,502.871
East Asia,South Korea,Tourism,1993,473.318
East Asia,South Korea,Tourism,1994,511.753
East Asia,South Korea,Tourism,1995,459.166
East Asia,South Korea,Tourism,1996,565.034
East Asia,South Korea,Tourism,1997,587.299
East Asia,South Korea,Tourism,1998,380.279
East Asia,South Korea,Tourism,1999,516.053
East Asia,South Korea,Tourism,2000,603.697
East Asia,South Korea,Tourism,2001,653.370
East Asia,South Korea,Tourism,2002,756.991
East Asia,South Korea,Tourism,2003,917.590
East Asia,South Korea,Tourism,2004,1.037.483
East Asia,South Korea,Tourism,2005,1.215.766
East Asia,South Korea,Tourism,2006,1.614.745
East Asia,South Korea,Tourism,2007,2.084.195
East Asia,South Korea,Tourism,2008,1.892.654
East Asia,South Korea,Tourism,2009,1.153.935
East Asia,South Korea,Tourism,2010,1.963.002
East Asia,South Korea,Tourism,2011,1.199.020
East Asia,South Korea,Tourism,2012,1.569.278
East Asia,South Korea,Tourism,2013,1.974.117
East Asia,South Korea,Tourism,2014,2.285.069
East Asia,South Korea,Tourism,2015,3.519.608
East Asia,South Korea,Tourism,2016,4.593.527
East Asia,South Korea,Tourism,2017,6.593.328
East Asia,South Korea,Tourism,2018,6.977.812
East Asia,South Korea,Tourism,2019,5.036.943
East Asia,South Korea,Tourism,2020,391.046
East Asia,South Korea,Tourism,2021,2.089
East Asia,South Korea,Tourism,2022,858.828
East Asia,South Korea,Tourism,2023,6.640.223
East Asia,South Korea,Tourism,2024,2.242.203
East Asia,Taiwan,Tourism,1992,622.707
East Asia,Taiwan,Tourism,1993,581.958
East Asia,Taiwan,Tourism,1994,562.053
East Asia,Taiwan,Tourism,1995,490.080
East Asia,Taiwan,Tourism,1996,628.192
East Asia,Taiwan,Tourism,1997,725.785
East Asia,Taiwan,Tourism,1998,744.089
East Asia,Taiwan,Tourism,1999,829.969
East Asia,Taiwan,Tourism,2000,807.261
East Asia,Taiwan,Tourism,2001,708.065
East Asia,Taiwan,Tourism,2002,769.074
East Asia,Taiwan,Tourism,2003,681.490
East Asia,Taiwan,Tourism,2004,962.168
East Asia,Taiwan,Tourism,2005,1.160.402
East Asia,Taiwan,Tourism,2006,1.184.183
East Asia,Taiwan,Tourism,2007,1.255.642
East Asia,Taiwan,Tourism,2008,1.264.425
East Asia,Taiwan,Tourism,2009,912.982
East Asia,Taiwan,Tourism,2010,1.139.339
East Asia,Taiwan,Tourism,2011,868.010
East Asia,Taiwan,Tourism,2012,1.329.331
East Asia,Taiwan,Tourism,2013,2.067.269
East Asia,Taiwan,Tourism,2014,2.674.425
East Asia,Taiwan,Tourism,2015,3.505.149
East Asia,Taiwan,Tourism,2016,3.981.559
East Asia,Taiwan,Tourism,2017,4.363.276
East Asia,Taiwan,Tourism,2018,4.544.086
East Asia,Taiwan,Tourism,2019,4.671.658
East Asia,Taiwan,Tourism,2020,648.464
East Asia,Taiwan,Tourism,2021,590
East Asia,Taiwan,Tourism,2022,286.295
East Asia,Taiwan,Tourism,2023,4.064.697
East Asia,Taiwan,Tourism,2024,1.432.322
Southeast Asia & India,India,Tourism,1992,5.801
Southeast Asia & India,India,Tourism,1993,5.705
Southeast Asia & India,India,Tourism,1994,5.557
Southeast Asia & India,India,Tourism,1995,4.891
Southeast Asia & India,India,Tourism,1996,5.350
Southeast Asia & India,India,Tourism,1997,6.491
Southeast Asia & India,India,Tourism,1998,6.891
Southeast Asia & India,India,Tourism,1999,7.403
Southeast Asia & India,India,Tourism,2000,8.214
Southeast Asia & India,India,Tourism,2001,8.037
Southeast Asia & India,India,Tourism,2002,9.446
Southeast Asia & India,India,Tourism,2003,9.132
Southeast Asia & India,India,Tourism,2004,11.382
Southeast Asia & India,India,Tourism,2005,13.654
Southeast Asia & India,India,Tourism,2006,15.684
Southeast Asia & India,India,Tourism,2007,21.373
Southeast Asia & India,India,Tourism,2008,22.441
Southeast Asia & India,India,Tourism,2009,20.310
Southeast Asia & India,India,Tourism,2010,20.929
Southeast Asia & India,India,Tourism,2011,12.211
Southeast Asia & India,India,Tourism,2012,19.096
Southeast Asia & India,India,Tourism,2013,23.265
Southeast Asia & India,India,Tourism,2014,29.035
Southeast Asia & India,India,Tourism,2015,38.633
Southeast Asia & India,India,Tourism,2016,49.646
Southeast Asia & India,India,Tourism,2017,53.232
Southeast Asia & India,India,Tourism,2018,62.207
Southeast Asia & India,India,Tourism,2019,75.558
Southeast Asia & India,India,Tourism,2020,5.406
Southeast Asia & India,India,Tourism,2021,552
Southeast Asia & India,India,Tourism,2022,8.634
Southeast Asia & India,India,Tourism,2023,88.192
Southeast Asia & India,India,Tourism,2024,27.025
Southeast Asia & India,Indonesia,Tourism,1992,17.054
Southeast Asia & India,Indonesia,Tourism,1993,15.430
Southeast Asia & India,Indonesia,Tourism,1994,13.869
Southeast Asia & India,Indonesia,Tourism,1995,11.267
Southeast Asia & India,Indonesia,Tourism,1996,14.353
Southeast Asia & India,Indonesia,Tourism,1997,16.437
Southeast Asia & India,Indonesia,Tourism,1998,7.112
Southeast Asia & India,Indonesia,Tourism,1999,11.097
Southeast Asia & India,Indonesia,Tourism,2000,13.874
Southeast Asia & India,Indonesia,Tourism,2001,16.432
Southeast Asia & India,Indonesia,Tourism,2002,19.328
Southeast Asia & India,Indonesia,Tourism,2003,23.845
Southeast Asia & India,Indonesia,Tourism,2004,22.809
Southeast Asia & India,Indonesia,Tourism,2005,23.606
Southeast Asia & India,Indonesia,Tourism,2006,28.461
Southeast Asia & India,Indonesia,Tourism,2007,38.430
Southeast Asia & India,Indonesia,Tourism,2008,40.494
Southeast Asia & India,Indonesia,Tourism,2009,41.471
Southeast Asia & India,Indonesia,Tourism,2010,53.195
Southeast Asia & India,Indonesia,Tourism,2011,33.954
Southeast Asia & India,Indonesia,Tourism,2012,68.211
Southeast Asia & India,Indonesia,Tourism,2013,101.726
Southeast Asia & India,Indonesia,Tourism,2014,120.535
Southeast Asia & India,Indonesia,Tourism,2015,164.040
Southeast Asia & India,Indonesia,Tourism,2016,218.373
Southeast Asia & India,Indonesia,Tourism,2017,291.532
Southeast Asia & India,Indonesia,Tourism,2018,330.217
Southeast Asia & India,Indonesia,Tourism,2019,339.133
Southeast Asia & India,Indonesia,Tourism,2020,55.178
Southeast Asia & India,Indonesia,Tourism,2021,415
Southeast Asia & India,Indonesia,Tourism,2022,46.897
Southeast Asia & India,Indonesia,Tourism,2023,321.476
Southeast Asia & India,Indonesia,Tourism,2024,89.497
Southeast Asia & India,Malaysia,Tourism,1992,35.670
Southeast Asia & India,Malaysia,Tourism,1993,23.698
Southeast Asia & India,Malaysia,Tourism,1994,20.472
Southeast Asia & India,Malaysia,Tourism,1995,22.264
Southeast Asia & India,Malaysia,Tourism,1996,24.010
Southeast Asia & India,Malaysia,Tourism,1997,23.971
Southeast Asia & India,Malaysia,Tourism,1998,16.979
Southeast Asia & India,Malaysia,Tourism,1999,25.161
Southeast Asia & India,Malaysia,Tourism,2000,30.635
Southeast Asia & India,Malaysia,Tourism,2001,28.877
Southeast Asia & India,Malaysia,Tourism,2002,34.869
Southeast Asia & India,Malaysia,Tourism,2003,35.205
Southeast Asia & India,Malaysia,Tourism,2004,38.263
Southeast Asia & India,Malaysia,Tourism,2005,40.637
Southeast Asia & India,Malaysia,Tourism,2006,47.116
Southeast Asia & India,Malaysia,Tourism,2007,62.551
Southeast Asia & India,Malaysia,Tourism,2008,70.355
Southeast Asia & India,Malaysia,Tourism,2009,60.356
Southeast Asia & India,Malaysia,Tourism,2010,80.308
Southeast Asia & India,Malaysia,Tourism,2011,50.312
Southeast Asia & India,Malaysia,Tourism,2012,95.030
Southeast Asia & India,Malaysia,Tourism,2013,140.484
Southeast Asia & India,Malaysia,Tourism,2014,211.898
Southeast Asia & India,Malaysia,Tourism,2015,266.805
Southeast Asia & India,Malaysia,Tourism,2016,355.534
Southeast Asia & India,Malaysia,Tourism,2017,399.108
Southeast Asia & India,Malaysia,Tourism,2018,426.507
Southeast Asia & India,Malaysia,Tourism,2019,458.519
Southeast Asia & India,Malaysia,Tourism,2020,67.895
Southeast Asia & India,Malaysia,Tourism,2021,321
Southeast Asia & India,Malaysia,Tourism,2022,58.048
Southeast Asia & India,Malaysia,Tourism,2023,389.133
Southeast Asia & India,Malaysia,Tourism,2024,126.537
Southeast Asia & India,Philippines,Tourism,1992,20.734
Southeast Asia & India,Philippines,Tourism,1993,19.937
Southeast Asia & India,Philippines,Tourism,1994,22.048
Southeast Asia & India,Philippines,Tourism,1995,22.294
Southeast Asia & India,Philippines,Tourism,1996,17.391
Southeast Asia & India,Philippines,Tourism,1997,17.447
Southeast Asia & India,Philippines,Tourism,1998,16.072
Southeast Asia & India,Philippines,Tourism,1999,15.287
Southeast Asia & India,Philippines,Tourism,2000,17.322
Southeast Asia & India,Philippines,Tourism,2001,17.695
Southeast Asia & India,Philippines,Tourism,2002,21.645
Southeast Asia & India,Philippines,Tourism,2003,26.742
Southeast Asia & India,Philippines,Tourism,2004,38.223
Southeast Asia & India,Philippines,Tourism,2005,53.583
Southeast Asia & India,Philippines,Tourism,2006,47.255
Southeast Asia & India,Philippines,Tourism,2007,45.971
Southeast Asia & India,Philippines,Tourism,2008,42.515
Southeast Asia & India,Philippines,Tourism,2009,38.107
Southeast Asia & India,Philippines,Tourism,2010,43.298
Southeast Asia & India,Philippines,Tourism,2011,29.832
Southeast Asia & India,Philippines,Tourism,2012,48.735
Southeast Asia & India,Philippines,Tourism,2013,68.720
Southeast Asia & India,Philippines,Tourism,2014,136.561
Southeast Asia & India,Philippines,Tourism,2015,212.795
Southeast Asia & India,Philippines,Tourism,2016,285.180
Southeast Asia & India,Philippines,Tourism,2017,353.081
Southeast Asia & India,Philippines,Tourism,2018,426.404
Southeast Asia & India,Philippines,Tourism,2019,523.109
Southeast Asia & India,Philippines,Tourism,2020,82.668
Southeast Asia & India,Philippines,Tourism,2021,484
Southeast Asia & India,Philippines,Tourism,2022,72.301
Southeast Asia & India,Philippines,Tourism,2023,516.953
Southeast Asia & India,Philippines,Tourism,2024,168.040
Southeast Asia & India,Singapore,Tourism,1992,25.433
Southeast Asia & India,Singapore,Tourism,1993,23.289
Southeast Asia & India,Singapore,Tourism,1994,24.512
Southeast Asia & India,Singapore,Tourism,1995,23.552
Southeast Asia & India,Singapore,Tourism,1996,32.389
Southeast Asia & India,Singapore,Tourism,1997,39.531
Southeast Asia & India,Singapore,Tourism,1998,37.879
Southeast Asia & India,Singapore,Tourism,1999,43.387
Southeast Asia & India,Singapore,Tourism,2000,45.675
Southeast Asia & India,Singapore,Tourism,2001,44.240
Southeast Asia & India,Singapore,Tourism,2002,51.383
Southeast Asia & India,Singapore,Tourism,2003,52.390
Southeast Asia & India,Singapore,Tourism,2004,62.930
Southeast Asia & India,Singapore,Tourism,2005,63.772
Southeast Asia & India,Singapore,Tourism,2006,84.642
Southeast Asia & India,Singapore,Tourism,2007,119.239
Southeast Asia & India,Singapore,Tourism,2008,137.222
Southeast Asia & India,Singapore,Tourism,2009,121.493
Southeast Asia & India,Singapore,Tourism,2010,151.580
Southeast Asia & India,Singapore,Tourism,2011,86.034
Southeast Asia & India,Singapore,Tourism,2012,112.842
Southeast Asia & India,Singapore,Tourism,2013,158.753
Southeast Asia & India,Singapore,Tourism,2014,194.092
Southeast Asia & India,Singapore,Tourism,2015,272.566
Southeast Asia & India,Singapore,Tourism,2016,324.187
Southeast Asia & India,Singapore,Tourism,2017,364.962
Southeast Asia & India,Singapore,Tourism,2018,396.901
Southeast Asia & India,Singapore,Tourism,2019,450.021
Southeast Asia & India,Singapore,Tourism,2020,49.675
Southeast Asia & India,Singapore,Tourism,2021,300
Southeast Asia & India,Singapore,Tourism,2022,116.813
Southeast Asia & India,Singapore,Tourism,2023,565.790
Southeast Asia & India,Singapore,Tourism,2024,125.223
Southeast Asia & India,Thailand,Tourism,1992,58.583
Southeast Asia & India,Thailand,Tourism,1993,35.298
Southeast Asia & India,Thailand,Tourism,1994,25.542
Southeast Asia & India,Thailand,Tourism,1995,18.409
Southeast Asia & India,Thailand,Tourism,1996,26.460
Southeast Asia & India,Thailand,Tourism,1997,26.517
Southeast Asia & India,Thailand,Tourism,1998,17.814
Southeast Asia & India,Thailand,Tourism,1999,24.255
Southeast Asia & India,Thailand,Tourism,2000,28.452
Southeast Asia & India,Thailand,Tourism,2001,29.764
Southeast Asia & India,Thailand,Tourism,2002,38.193
Southeast Asia & India,Thailand,Tourism,2003,43.832
Southeast Asia & India,Thailand,Tourism,2004,63.017
Southeast Asia & India,Thailand,Tourism,2005,75.333
Southeast Asia & India,Thailand,Tourism,2006,79.094
Southeast Asia & India,Thailand,Tourism,2007,119.718
Southeast Asia & India,Thailand,Tourism,2008,143.541
Southeast Asia & India,Thailand,Tourism,2009,135.903
Southeast Asia & India,Thailand,Tourism,2010,165.901
Southeast Asia & India,Thailand,Tourism,2011,95.185
Southeast Asia & India,Thailand,Tourism,2012,201.623
Southeast Asia & India,Thailand,Tourism,2013,392.856
Southeast Asia & India,Thailand,Tourism,2014,599.690
Southeast Asia & India,Thailand,Tourism,2015,737.943
Southeast Asia & India,Thailand,Tourism,2016,838.092
Southeast Asia & India,Thailand,Tourism,2017,919.000
Southeast Asia & India,Thailand,Tourism,2018,1.060.402
Southeast Asia & India,Thailand,Tourism,2019,1.246.144
Southeast Asia & India,Thailand,Tourism,2020,203.388
Southeast Asia & India,Thailand,Tourism,2021,498
Southeast Asia & India,Thailand,Tourism,2022,166.066
Southeast Asia & India,Thailand,Tourism,2023,942.761
Southeast Asia & India,Thailand,Tourism,2024,309.245
Southeast Asia & India,Vietnam,Tourism,1992,407
Southeast Asia & India,Vietnam,Tourism,1993,548
Southeast Asia & India,Vietnam,Tourism,1994,749
Southeast Asia & India,Vietnam,Tourism,1995,736
Southeast Asia & India,Vietnam,Tourism,1996,1.008
Southeast Asia & India,Vietnam,Tourism,1997,998
Southeast Asia & India,Vietnam,Tourism,1998,1.030
Southeast Asia & India,Vietnam,Tourism,1999,1.257
Southeast Asia & India,Vietnam,Tourism,2000,1.686
Southeast Asia & India,Vietnam,Tourism,2001,1.892
Southeast Asia & India,Vietnam,Tourism,2002,2.616
Southeast Asia & India,Vietnam,Tourism,2003,3.435
Southeast Asia & India,Vietnam,Tourism,2004,3.930
Southeast Asia & India,Vietnam,Tourism,2005,4.067
Southeast Asia & India,Vietnam,Tourism,2006,4.754
Southeast Asia & India,Vietnam,Tourism,2007,8.427
Southeast Asia & India,Vietnam,Tourism,2008,9.461
Southeast Asia & India,Vietnam,Tourism,2009,10.062
Southeast Asia & India,Vietnam,Tourism,2010,13.224
Southeast Asia & India,Vietnam,Tourism,2011,8.741
Southeast Asia & India,Vietnam,Tourism,2012,15.523
Southeast Asia & India,Vietnam,Tourism,2013,26.402
Southeast Asia & India,Vietnam,Tourism,2014,41.375
Southeast Asia & India,Vietnam,Tourism,2015,62.060
Southeast Asia & India,Vietnam,Tourism,2016,77.099
Southeast Asia & India,Vietnam,Tourism,2017,107.162
Southeast Asia & India,Vietnam,Tourism,2018,135.963
Southeast Asia & India,Vietnam,Tourism,2019,173.936
Southeast Asia & India,Vietnam,Tourism,2020,17.296
Southeast Asia & India,Vietnam,Tourism,2021,196
Southeast Asia & India,Vietnam,Tourism,2022,26.909
Southeast Asia & India,Vietnam,Tourism,2023,173.672
Southeast Asia & India,Vietnam,Tourism,2024,39.769
Others,Others,Tourism,1992,131.413
Others,Others,Tourism,1993,107.492
Others,Others,Tourism,1994,113.582
Others,Others,Tourism,1995,118.894
Others,Others,Tourism,1996,114.569
Others,Others,Tourism,1997,110.751
Others,Others,Tourism,1998,108.008
Others,Others,Tourism,1999,102.004
Others,Others,Tourism,2000,113.438
Others,Others,Tourism,2001,110.205
Others,Others,Tourism,2002,131.539
Others,Others,Tourism,2003,117.218
Others,Others,Tourism,2004,132.866
Others,Others,Tourism,2005,152.264
Others,Others,Tourism,2006,151.426
Others,Others,Tourism,2007,179.747
Others,Others,Tourism,2008,200.410
Others,Others,Tourism,2009,183.966
Others,Others,Tourism,2010,204.743
Others,Others,Tourism,2011,129.756
Others,Others,Tourism,2012,205.222
Others,Others,Tourism,2013,252.716
Others,Others,Tourism,2014,318.121
Others,Others,Tourism,2015,437.127
Others,Others,Tourism,2016,506.018
Others,Others,Tourism,2017,566.269
Others,Others,Tourism,2018,632.217
Others,Others,Tourism,2019,759.385
Others,Others,Tourism,2020,86.352
Others,Others,Tourism,2021,23.503
Others,Others,Tourism,2022,74.916
Others,Others,Tourism,2023,691.453
Others,Others,Tourism,2024,208.087
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1992,28.412
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1993,30.390
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1994,31.560
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1995,29.576
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1996,32.940
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1997,41.520
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1998,52.858
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,1999,90.794
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2000,98.898
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2001,100.316
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2002,114.372
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2003,122.002
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2004,143.988
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2005,154.571
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2006,143.829
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2007,170.253
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2008,195.136
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2009,171.579
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2010,182.420
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2011,124.182
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2012,164.787
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2013,202.337
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2014,259.968
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2015,330.677
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2016,398.288
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2017,446.232
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2018,503.597
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2019,571.227
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2020,135.240
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2021,2.076
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2022,69.705
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2023,580.070
Europe & Nordic Countries & Americas & Australia & Middle East,Australia,Tourism,2024,245.222
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1992,43.661
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1993,45.860
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1994,45.822
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1995,44.554
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1996,50.767
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1997,55.628
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1998,68.449
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,1999,68.521
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2000,77.991
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2001,84.995
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2002,90.523
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2003,87.647
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2004,102.058
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2005,107.591
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2006,116.893
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2007,125.694
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2008,131.504
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2009,122.215
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2010,121.900
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2011,73.015
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2012,105.029
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2013,122.602
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2014,152.005
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2015,199.834
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2016,240.814
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2017,271.932
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2018,295.683
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2019,339.319
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2020,47.216
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2021,2.111
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2022,44.779
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2023,405.542
Europe & Nordic Countries & Americas & Australia & Middle East,Canada,Tourism,2024,117.962
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1992,20.490
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1993,21.861
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1994,23.411
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1995,21.370
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1996,21.909
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1997,24.782
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1998,28.484
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,1999,29.467
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2000,31.966
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2001,34.902
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2002,38.261
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2003,38.787
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2004,46.851
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2005,55.378
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2006,62.815
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2007,79.138
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2008,90.689
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2009,94.640
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2010,99.500
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2011,50.048
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2012,80.621
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2013,103.045
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2014,123.003
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2015,154.612
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2016,190.236
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2017,203.133
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2018,238.905
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2019,270.660
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2020,30.824
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2021,3.297
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2022,27.423
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2023,237.409
Europe & Nordic Countries & Americas & Australia & Middle East,France,Tourism,2024,59.968
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Tourism,1992,27.640
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Tourism,1993,26.949
Europe & Nordic Countries & Americas & Australia & Middle East,Germany,Tourism,1994,27.939
