"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2024","161.13","161.59","161.62","160.95","","-0.34%"
"07/03/2024","161.68","161.46","162.01","160.77","","0.15%"
"07/02/2024","161.44","161.51","161.77","161.27","","-0.01%"
"07/01/2024","161.45","160.88","161.76","160.65","","0.39%"
"06/28/2024","160.83","160.76","161.28","160.26","","0.06%"
"06/27/2024","160.74","160.82","160.85","160.28","","-0.03%"
"06/26/2024","160.79","159.71","160.88","159.60","","0.69%"
"06/25/2024","159.69","159.59","159.80","159.19","","0.06%"
"06/24/2024","159.59","159.84","159.93","158.82","","-0.13%"
"06/21/2024","159.79","158.93","159.85","158.67","","0.56%"
"06/20/2024","158.90","158.10","158.95","157.92","","0.52%"
"06/19/2024","158.08","157.85","158.12","157.60","","0.15%"
"06/18/2024","157.85","157.74","158.24","157.51","","0.09%"
"06/17/2024","157.71","157.38","157.97","157.15","","0.22%"
"06/14/2024","157.37","157.04","158.27","156.88","","0.22%"
"06/13/2024","157.02","156.72","157.35","156.58","","0.20%"
"06/12/2024","156.71","157.07","157.46","155.72","","-0.23%"
"06/11/2024","157.07","157.04","157.46","156.80","","0.03%"
"06/10/2024","157.02","156.74","157.21","156.70","","0.20%"
"06/07/2024","156.70","155.62","157.09","155.12","","0.71%"
"06/06/2024","155.60","156.10","156.45","155.35","","-0.32%"
"06/05/2024","156.10","154.85","156.49","154.79","","0.79%"
"06/04/2024","154.87","156.12","156.49","154.54","","-0.79%"
"06/03/2024","156.10","157.32","157.49","155.95","","-0.77%"
"05/31/2024","157.31","156.82","157.38","156.56","","0.32%"
"05/30/2024","156.81","157.63","157.68","156.38","","-0.50%"
"05/29/2024","157.60","157.15","157.79","156.92","","0.28%"
"05/28/2024","157.16","156.85","157.21","156.58","","0.19%"
"05/27/2024","156.86","157.04","157.04","156.66","","-0.08%"
"05/24/2024","156.99","156.93","157.16","156.82","","0.04%"
"05/23/2024","156.93","156.79","157.20","156.53","","0.10%"
"05/22/2024","156.77","156.16","156.85","156.11","","0.40%"
"05/21/2024","156.15","156.26","156.56","155.84","","-0.06%"
"05/20/2024","156.24","155.60","156.32","155.49","","0.38%"
"05/17/2024","155.65","155.40","156.01","155.24","","0.17%"
"05/16/2024","155.38","154.88","155.54","153.59","","0.33%"
"05/15/2024","154.87","156.43","156.57","154.69","","-0.99%"
"05/14/2024","156.42","156.18","156.77","156.15","","0.14%"
"05/13/2024","156.20","155.74","156.30","155.55","","0.31%"
"05/10/2024","155.72","155.47","155.92","155.26","","0.17%"
